client_id,gender,age,income,employment_status,country,target,n_transactions,total_spent,avg_ticket,days_since_last,spent_credit_card,spent_merchant_loan,spent_personal_loan,avg_interest_rate,max_tenor
100108,M,36,90467,CDI,France,0,36,32701,422,101,9064,3533,3054,4.86,6
100188,M,58,72662,CDD,France,0,49,13956,296,6,9444,3367,13575,10.48,35
100210,F,57,118506,CDI,France,0,65,48712,24,180,6413,3368,7970,8.69,54
100286,F,47,32688,Retraite,France,0,51,39265,485,282,6941,3797,2143,7.13,8
100083,F,48,45342,Retraite,France,0,25,35316,111,320,9506,1792,9503,7.22,50
100084,F,61,57157,Retraite,France,1,84,45606,189,226,4820,2861,15149,7.95,19
100540,F,59,87863,Retraite,France,0,89,17600,336,315,2898,3476,18922,11.46,35
100076,M,64,72083,Retraite,Belgique,0,79,22449,41,229,7546,3417,12175,10.18,55
100039,F,46,85733,Independant,France,0,40,5044,424,289,77,1645,8356,8.52,9
100098,F,51,109045,Independant,France,0,23,38244,345,150,7577,1205,15070,3.91,23
100081,M,59,54698,CDI,France,1,24,46043,20,277,4227,3030,822,3.93,42
100197,F,25,100623,Retraite,France,0,61,43283,152,198,600,2872,17327,3.03,30
100190,M,59,42671,CDI,France,0,22,27157,252,70,1065,3072,14289,14.61,53
100203,F,61,45184,Retraite,France,0,51,36687,31,112,2136,1854,6150,3.06,6
100216,M,38,113384,Retraite,France,0,53,47698,365,4,9510,4021,4425,4.24,58
100209,F,27,62107,Independant,France,0,18,7739,65,350,6943,4662,16032,6.78,51
100085,F,25,106202,Independant,France,0,19,14989,53,331,7804,2708,2198,12.69,20
100044,M,29,71663,CDD,France,0,35,49901,452,318,6565,3502,3452,14.55,14
100165,M,50,35708,Independant,France,0,5,43625,97,350,5984,1332,9106,12.48,20
100541,M,38,111906,CDD,France,0,58,29038,237,95,5142,201,13859,11.29,54
100175,M,63,69811,CDD,Suisse,0,7,32549,320,152,4670,3507,17692,9.26,29
101201,M,51,22811,CDD,France,0,20,37631,430,311,2190,4212,8705,4.04,9
100145,M,33,76250,CDD,France,0,91,43444,92,137,9184,574,10112,14.5,17
100030,M,39,92082,CDD,France,0,61,8927,301,247,2712,536,19978,12.1,42
100142,M,39,54754,CDI,France,0,79,41848,268,243,2192,1625,4841,10.67,42
100234,F,50,115742,Independant,France,0,16,24785,66,31,1248,2122,15358,12.11,48
100036,F,37,31411,CDD,France,1,78,38126,140,40,4033,385,1409,11.69,11
100114,M,56,22911,Retraite,France,1,20,43308,233,229,1997,3281,4566,10.65,44
100122,F,63,87270,Independant,Suisse,0,76,23428,258,36,3687,474,11382,14.77,51
101559,F,56,103763,Independant,Belgique,0,80,19698,75,223,4018,417,17939,13.84,29
100002,F,28,28680,CDD,France,0,28,20258,369,6,1970,3600,14596,10.76,16
100243,F,54,104896,CDI,France,0,32,15754,126,322,8389,954,804,11.32,18
100213,M,61,103879,CDD,France,0,12,44738,338,220,5765,4971,13221,3.62,39
100178,F,47,91295,CDI,France,0,96,1752,67,75,1202,4858,1279,11.04,30
100192,M,63,108614,Retraite,France,0,40,40264,80,4,8135,1205,13192,3.53,12
100123,F,39,31111,Independant,France,0,94,12673,356,335,5567,4759,7083,10.06,57
100650,F,53,57504,Retraite,France,0,12,37941,45,134,7667,4120,11093,14.99,9
100070,F,60,21802,CDI,France,0,62,27198,311,118,5742,1990,17771,9.67,13
101147,M,37,28155,CDI,France,0,64,16281,276,94,5788,4805,12880,8.68,25
100121,F,56,93656,Retraite,Suisse,0,54,13551,27,62,5408,3572,15517,6.75,34
100017,M,31,59384,CDI,France,0,32,40149,132,194,8669,4380,19063,4.45,59
101495,F,46,67254,Retraite,France,0,96,7449,374,335,9446,4158,2106,11.77,58
100167,M,52,41918,Independant,France,0,45,42789,272,203,922,4757,16086,5.31,56
100162,F,26,105981,Retraite,France,0,68,8517,199,26,419,2713,4831,4.38,50
100020,M,30,80713,Independant,France,0,31,7441,226,173,2204,2203,19152,8.06,51
100009,M,52,50306,Retraite,France,0,67,26434,322,300,1120,3120,3186,12.54,15
100021,F,52,36646,CDI,France,0,21,23886,146,133,950,966,2573,11.94,48
100037,M,44,66843,Retraite,France,0,77,10709,75,326,2336,4944,12808,3.66,39
100118,F,54,116601,CDI,France,0,37,18215,233,118,5373,3432,2599,8.46,31
101291,F,35,110735,Retraite,France,0,88,29420,33,324,2243,688,4033,9.27,46
101474,F,52,36371,Retraite,France,0,81,32203,493,275,2645,4243,8428,10.73,54
100717,F,49,97371,CDD,Belgique,0,96,42818,47,212,4612,3701,1304,10.8,8
101286,F,63,22049,CDI,France,0,33,5137,490,225,1865,341,17685,7.38,11
101231,F,57,51616,CDD,France,0,17,5354,97,20,6028,1724,18925,9.73,10
100153,F,25,40932,CDI,France,0,50,43588,235,113,7326,4422,18435,8.77,10
100208,F,51,49855,CDD,France,0,39,38160,405,140,6371,1792,8633,13.62,59
100902,F,37,81434,Independant,France,1,10,40311,384,47,6359,1759,11372,9.36,52
100230,F,27,92694,Retraite,France,0,86,49789,173,1,7863,3212,8996,8.29,28
100472,F,63,63016,CDI,France,0,73,20356,33,90,3228,989,16458,7.85,54
100215,M,30,27400,CDI,France,0,51,22333,206,142,3719,2262,5475,9.87,14
